Analog1, Analog2, Digital1, Digital2
12059,9371,0,0
12357,9391,0,0
12049,9546,0,0
12178,9475,0,0
12069,9563,0,0
12068,9598,0,0
12263,9556,0,0
11972,9585,0,0
12014,9366,0,0
12124,9502,0,0
12208,9447,0,0
12093,9512,0,0
12189,9448,0,0
11991,9429,0,0
12187,9505,0,0
12110,9458,0,0
12091,9507,0,0
11940,9496,0,0
12060,9443,0,0
12137,9475,0,0
12188,9539,0,0
12118,9421,0,0
12269,9433,0,0
12130,9383,0,0
12045,9532,0,0
12032,9527,0,0
11895,9359,0,0
12027,9438,0,0
12135,9381,0,0
12149,9521,0,0
12071,9328,0,0
11921,9390,0,0
12148,9331,0,0
12141,9314,0,0
12081,9481,0,0
11950,9402,0,0
12057,9542,0,0
12119,9444,0,0
12057,9373,0,0
12062,9546,0,0
11927,9567,0,0
12215,9429,0,0
12191,9570,0,0
12209,9410,0,0
12118,9580,0,0
12191,9392,0,0
12059,9368,0,0
12093,9631,0,0
12137,9471,0,0
12156,9437,0,0
11953,9591,0,0
12309,9571,0,0
12107,9306,0,0
12120,9373,0,0
12136,9433,0,0
12181,9453,0,0
12183,9603,0,0
12032,9280,0,0
12182,9479,0,0
12185,9271,0,0
12293,9428,0,0
12077,9345,0,0
12268,9271,0,0
12170,9415,0,0
12092,9522,0,0
12259,9383,0,0
12137,9481,0,0
12343,9512,0,0
12068,9339,0,0
12099,9290,0,0
12271,9477,0,0
11969,9365,0,0
12162,9615,0,0
12019,9318,0,0
12190,9255,0,0
12271,9438,0,0
12082,9442,0,0
11959,9569,0,0
12037,9504,0,0
12187,9261,0,0
12037,9438,0,0
12042,9257,0,0
12132,9398,0,0
12133,9328,0,0
12212,9327,0,0
12268,9459,0,0
12032,9402,0,0
12031,9402,0,0
12116,9348,0,0
12136,9435,0,0
12016,9329,0,0
11940,9450,0,0
11951,9456,0,0
11825,9299,0,0
11876,9522,0,0
12033,9517,0,0
11924,9446,0,0
11991,9373,0,0
12058,9603,0,0
12003,9500,0,0
11968,9326,0,0
11884,9462,0,0
12153,9299,0,0
12046,9467,0,0
11887,9345,0,0
11966,9444,0,0
11950,9328,0,0
11780,9306,0,0
11950,9355,0,0
11910,9414,0,0
11875,9506,0,0
11901,9483,0,0
12106,9439,0,0
12077,9464,0,0
12032,9472,0,0
11993,9433,0,0
11883,9424,0,0
11976,9461,0,0
12026,9375,0,0
11906,9344,0,0
11992,9379,0,0
11827,9214,0,0
12081,9476,0,0
11963,9423,0,0
12055,9439,0,0
11874,9462,0,0
12047,9327,0,0
11961,9420,0,0
12037,9471,0,0
12052,9610,0,0
11930,9525,0,0
12011,9442,0,0
11990,9413,0,0
12025,9602,0,0
11903,9526,0,0
11894,9580,0,0
12037,9375,0,0
11988,9432,0,0
11947,9413,0,0
12081,9289,0,0
12047,9494,0,0
12177,9245,0,0
12032,9304,0,0
12003,9487,0,0
11927,9385,0,0
11886,9501,0,0
12233,9534,0,0
12121,9491,0,0
12128,9500,0,0
11959,9588,0,0
11966,9477,0,0
12067,9421,0,0
12013,9461,0,0
11855,9419,0,0
11885,9334,0,0
12059,9537,0,0
11896,9356,0,0
12095,9403,0,0
11986,9283,0,0
11968,9363,0,0
11933,9377,0,0
11770,9375,0,0
12114,9414,0,0
11859,9367,0,0
12025,9494,0,0
11891,9361,0,0
11827,9336,0,0
11867,9291,0,0
12039,9360,0,0
11852,9405,0,0
12030,9531,0,0
11848,9539,0,0
11870,9436,0,0
11840,9466,0,0
12003,9496,0,0
11793,9380,0,0
12060,9310,0,0
11877,9455,0,0
11890,9415,0,0
11977,9450,0,0
12013,9325,0,0
11988,9331,0,0
11908,9360,0,0
11993,9386,0,0
11956,9409,0,0
11799,9476,0,0
11918,9436,0,0
11849,9293,0,0
11913,9373,0,0
11808,9590,0,0
11876,9280,0,0
11930,9392,0,0
11788,9347,0,0
11866,9438,0,0
11927,9370,0,0
11911,9382,0,0
11848,9355,0,0
12027,9432,0,0
12026,9399,0,0
11861,9317,0,0
11821,9535,0,0
11774,9496,0,0
11967,9552,0,0
11834,9384,0,0
11916,9439,0,0
11931,9417,0,0
12024,9439,0,0
11953,9383,0,0
11779,9337,0,0
11754,9365,0,0
11951,9409,0,0
11780,9531,0,0
11863,9244,0,0
11918,9274,0,0
11961,9262,0,0
12009,9381,0,0
12028,9347,0,0
12121,9323,0,0
12051,9445,0,0
11992,9497,0,0
12176,9414,0,0
12140,9322,0,0
12038,9315,0,0
12167,9381,0,0
11949,9266,0,0
12113,9400,0,0
12084,9488,0,0
12166,9363,0,0
12121,9355,0,0
12003,9273,0,0
12238,9185,0,0
12038,9574,0,0
12154,9420,0,0
11997,9414,0,0
12154,9599,0,0
12096,9259,0,0
12126,9444,0,0
11999,9339,0,0
11938,9434,0,0
11888,9417,0,0
11964,9487,0,0
11958,9474,0,0
12085,9345,0,0
12049,9398,0,0
12038,9137,0,0
12096,9448,0,0
12083,9288,0,0
11800,9352,0,0
12043,9347,0,0
12054,9266,0,0
12163,9436,0,0
12115,9379,0,0
11894,9421,0,0
12122,9331,0,0
12153,9447,0,0
12195,9407,0,0
12188,9421,0,0
12267,9312,0,0
12038,9378,0,0
12074,9413,0,0
11969,9386,0,0
12143,9382,0,0
12262,9381,0,0
12086,9346,0,0
12252,9467,0,0
12181,9316,0,0
12199,9205,0,0
12142,9352,0,0
12234,9495,0,0
12121,9335,0,0
12192,9394,0,0
12073,9393,0,0
12048,9456,0,0
12058,9296,0,0
11991,9266,0,0
11883,9484,0,0
12106,9184,0,0
11877,9298,0,0
12006,9316,0,0
12135,9472,0,0
12157,9407,0,0
12056,9408,0,0
12133,9394,0,0
11985,9417,0,0
12070,9335,0,0
12084,9296,0,0
12115,9482,0,0
12049,9404,0,0
12117,9499,0,0
12075,9302,0,0
12120,9364,0,0
12070,9338,0,0
12249,9350,0,0
12109,9397,0,0
12273,9232,0,0
11996,9501,0,0
12383,9267,0,0
12253,9500,0,0
12295,9368,0,0
12074,9097,0,0
12279,9362,0,0
12163,9373,0,0
12138,9503,0,0
12208,9343,0,0
12054,9427,0,0
12126,9387,0,0
12094,9377,0,0
12162,9170,0,0
12172,9327,0,0
12059,9327,0,0
12023,9380,0,0
11913,9358,0,0
12206,9501,0,0
12094,9293,0,0
12075,9426,0,0
12136,9377,0,0
12013,9356,0,0
12079,9209,0,0
12187,9288,0,0
12115,9320,0,0
12156,9438,0,0
12109,9274,0,0
12225,9290,0,0
12138,9449,0,0
12005,9382,0,0
11984,9379,0,0
11956,9339,0,0
12155,9280,0,0
12074,9283,0,0
12046,9288,0,0
11979,9395,0,0
12176,9387,0,0
11998,9498,0,0
12246,9283,0,0
12072,9380,0,0
12050,9372,0,0
12032,9336,0,0
12038,9419,0,0
11935,9160,0,0
11866,9345,0,0
11971,9428,0,0
12044,9301,0,0
12032,9413,0,0
12009,9340,0,0
11964,9362,0,0
11974,9361,0,0
11917,9397,0,0
11947,9319,0,0
11877,9388,0,0
11940,9397,0,0
12099,9402,0,0
11966,9229,0,0
11981,9370,0,0
11996,9340,0,0
12006,9387,0,0
11885,9329,0,0
11943,9210,0,0
11980,9430,0,0
11988,9388,0,0
11992,9286,0,0
11941,9344,0,0
12053,9464,0,0
12054,9283,0,0
11931,9323,0,0
11828,9334,0,0
11950,9267,0,0
12109,9375,0,0
11768,9369,0,0
11934,9302,0,0
11960,9188,0,0
12054,9315,0,0
12056,9232,0,0
12021,9404,0,0
11981,9289,0,0
