Analog1, Analog2, Digital1, Digital2
14554,15404,0,0
14457,15483,0,0
14555,15334,0,0
14454,15404,0,0
14366,15374,0,0
14471,15421,0,0
14450,15496,0,0
14486,15507,0,0
14560,15472,0,0
14492,15518,0,0
14353,15629,0,0
14439,15442,0,0
14499,15420,0,0
14487,15608,0,0
14465,15547,0,0
14445,15509,0,0
14548,15350,0,0
14538,15307,0,0
14616,15429,0,0
14505,15330,0,0
14430,15508,0,0
14518,15554,0,0
14515,15325,0,0
14354,15364,0,0
14465,15332,0,0
14454,15449,0,0
14402,15412,0,0
14389,15410,0,0
14428,15452,0,0
14338,15350,0,0
14443,15357,0,0
14414,15292,0,0
14560,15282,0,0
14471,15351,0,0
14405,15366,0,0
14386,15281,0,0
14584,15262,0,0
14470,15264,0,0
14428,15423,0,0
14520,15373,0,0
14434,15492,0,0
14396,15356,0,0
14640,15217,0,0
14536,15285,0,0
14455,15195,0,0
14618,15269,0,0
14425,15335,0,0
14349,15278,0,0
14249,15181,0,0
14448,15292,0,0
14241,15072,0,0
14370,15190,0,0
14450,15231,0,0
14487,15190,0,0
14368,15212,0,0
14266,15423,0,0
14262,15174,0,0
14295,15208,0,0
14433,15110,0,0
14405,15004,0,0
14364,15105,0,0
14174,15034,0,0
14209,15172,0,0
14323,15089,0,0
14271,15235,0,0
14276,15138,0,0
14247,15002,0,0
14185,15369,0,0
14072,15183,0,0
14432,15147,0,0
14136,15097,0,0
14295,15241,0,0
14437,15044,0,0
14248,15198,0,0
14322,15254,0,0
14232,15144,0,0
14269,15098,0,0
14285,15185,0,0
14172,15107,0,0
14217,14982,0,0
14325,15201,0,0
14340,15082,0,0
14225,15128,0,0
14098,15166,0,0
14216,15119,0,0
14145,15118,0,0
14219,15117,0,0
14313,15074,0,0
14369,14935,0,0
14081,15168,0,0
14262,15166,0,0
14231,15008,0,0
14185,15031,0,0
14327,14946,0,0
14131,15087,0,0
14200,15043,0,0
14110,15017,0,0
14133,15142,0,0
14227,15009,0,0
14121,15119,0,0
14313,14995,0,0
14087,15131,0,0
14237,15259,0,0
14138,15155,0,0
14083,15024,0,0
14320,15016,0,0
14211,15012,0,0
14096,15034,0,0
14043,15002,0,0
14007,15191,0,0
14096,14903,0,0
14090,15131,0,0
14204,15116,0,0
14080,15026,0,0
14068,14952,0,0
14135,15020,0,0
14122,14969,0,0
13879,14915,0,0
14129,15164,0,0
14086,15134,0,0
14086,15084,0,0
14286,15062,0,0
14162,14994,0,0
14197,14982,0,0
14050,14886,0,0
13905,15018,0,0
14072,14880,0,0
13943,14986,0,0
13994,14876,0,0
14234,14833,0,0
14139,14812,0,0
14062,14921,0,0
14216,15024,0,0
13993,14853,0,0
14066,14941,0,0
13996,14886,0,0
14055,14776,0,0
13905,14862,0,0
14052,14889,0,0
13868,14846,0,0
14043,14889,0,0
14110,14710,0,0
14016,14765,0,0
13896,14741,0,0
13984,14832,0,0
13950,14948,0,0
14105,14648,0,0
14122,14738,0,0
14029,14894,0,0
13804,14683,0,0
14119,14874,0,0
13993,14774,0,0
14003,14780,0,0
14037,14873,0,0
14065,14855,0,0
14259,14892,0,0
13898,14677,0,0
13982,14885,0,0
14007,14905,0,0
13980,14867,0,0
13862,14795,0,0
13798,14849,0,0
13786,14791,0,0
13999,14891,0,0
13887,14786,0,0
14081,14862,0,0
13998,14656,0,0
13858,14796,0,0
13836,14777,0,0
13838,14820,0,0
13865,14867,0,0
14007,14655,0,0
13905,14638,0,0
13893,14889,0,0
13963,14827,0,0
14025,14728,0,0
14078,14699,0,0
13925,14662,0,0
13774,14851,0,0
13838,14977,0,0
13905,14601,0,0
13937,14866,0,0
13792,14752,0,0
13896,14717,0,0
13843,14759,0,0
13926,14624,0,0
13982,14618,0,0
13868,14733,0,0
13990,14695,0,0
13786,14719,0,0
13851,14755,0,0
13821,14822,0,0
13821,14907,0,0
13878,14672,0,0
14000,14822,0,0
14053,14743,0,0
13861,14723,0,0
13964,14575,0,0
13996,14683,0,0
13872,14789,0,0
13838,14755,0,0
13915,14775,0,0
13869,14621,0,0
13909,14710,0,0
13885,14603,0,0
13815,14762,0,0
13942,14712,0,0
13977,14579,0,0
13849,14839,0,0
13797,14808,0,0
13964,14779,0,0
13829,14638,0,0
13599,14667,0,0
13987,14690,0,0
13820,14657,0,0
13821,14653,0,0
13758,14519,0,0
13635,14770,0,0
13716,14503,0,0
13687,14599,0,0
13856,14656,0,0
13701,14537,0,0
13813,14747,0,0
13676,14737,0,0
13753,14714,0,0
13721,14549,0,0
13896,14623,0,0
13894,14788,0,0
13810,14699,0,0
13735,14660,0,0
13737,14653,0,0
13742,14496,0,0
13732,14651,0,0
13541,14545,0,0
13680,14510,0,0
13796,14481,0,0
13705,14584,0,0
13618,14589,0,0
13897,14551,0,0
13787,14638,0,0
13698,14592,0,0
13587,14791,0,0
13807,14617,0,0
13806,14763,0,0
13628,14620,0,0
13669,14572,0,0
13777,14698,0,0
13675,14677,0,0
13571,14616,0,0
13693,14617,0,0
13648,14633,0,0
13757,14495,0,0
13602,14616,0,0
13802,14584,0,0
13726,14447,0,0
13679,14541,0,0
13671,14561,0,0
13755,14705,0,0
13482,14664,0,0
13680,14416,0,0
13689,14555,0,0
13773,14454,0,0
13745,14462,0,0
13608,14505,0,0
13749,14525,0,0
13717,14487,0,0
13716,14469,0,0
13560,14541,0,0
13746,14567,0,0
13670,14552,0,0
13697,14454,0,0
13567,14380,0,0
13634,14752,0,0
13696,14559,0,0
13512,14509,0,0
13619,14442,0,0
13718,14250,0,0
13620,14475,0,0
13741,14519,0,0
13518,14562,0,0
13650,14451,0,0
13649,14498,0,0
13709,14398,0,0
13674,14621,0,0
13346,14474,0,0
13730,14438,0,0
13576,14518,0,0
13452,14649,0,0
13644,14527,0,0
13738,14387,0,0
13758,14490,0,0
13536,14457,0,0
13666,14505,0,0
13654,14412,0,0
13661,14567,0,0
13697,14507,0,0
13578,14359,0,0
13708,14463,0,0
13643,14432,0,0
13744,14436,0,0
13567,14612,0,0
13626,14455,0,0
13701,14375,0,0
13671,14564,0,0
13550,14399,0,0
13704,14295,0,0
13670,14504,0,0
13585,14417,0,0
13649,14561,0,0
13545,14369,0,0
13608,14419,0,0
13587,14401,0,0
13660,14541,0,0
13703,14340,0,0
13465,14478,0,0
13668,14435,0,0
13742,14418,0,0
13727,14453,0,0
13715,14586,0,0
13634,14436,0,0
13472,14396,0,0
13660,14448,0,0
13633,14516,0,0
13587,14310,0,0
13542,14464,0,0
13734,14296,0,0
13658,14407,0,0
13539,14291,0,0
13580,14440,0,0
13577,14370,0,0
13600,14308,0,0
13573,14418,0,0
13613,14398,0,0
13500,14490,0,0
13632,14444,0,0
13654,14283,0,0
13660,14398,0,0
13495,14294,0,0
13612,14472,0,0
13518,14353,0,0
13718,14411,0,0
13569,14458,0,0
13605,14266,0,0
13717,14544,0,0
13499,14423,0,0
13524,14501,0,0
13459,14443,0,0
13586,14311,0,0
13449,14405,0,0
13627,14276,0,0
13575,14317,0,0
13603,14590,0,0
13399,14322,0,0
13431,14284,0,0
13569,14346,0,0
13552,14349,0,0
13551,14319,0,0
13664,14396,0,0
13644,14438,0,0
13537,14365,0,0
13525,14508,0,0
13557,14436,0,0
13505,14462,0,0
13518,14510,0,0
13579,14401,0,0
13548,14332,0,0
13549,14196,0,0
13547,14258,0,0
13626,14441,0,0
13371,14242,0,0
13527,14340,0,0
13680,14347,0,0
13452,14404,0,0
13574,14313,0,0
13583,14536,0,0
13647,14330,0,0
13688,14451,0,0
13663,14399,0,0
13607,14272,0,0
13496,14435,0,0
13489,14341,0,0
13540,14443,0,0
13562,14297,0,0
13755,14374,0,0
13627,14333,0,0
13548,14215,0,0
13442,14105,0,0
13543,14359,0,0
13555,14421,0,0
13492,14262,0,0
13529,14375,0,0
13397,14419,0,0
13452,14256,0,0
13537,14314,0,0
13319,14255,0,0
13428,14395,0,0
13724,14242,0,0
13432,14318,0,0
13506,14233,0,0
13436,14324,0,0
13587,14205,0,0
13532,14254,0,0
13576,14399,0,0
13443,14341,0,0
13523,14273,0,0
13533,14223,0,0
13429,14296,0,0
13623,14389,0,0
13511,14284,0,0
13662,14469,0,0
13543,14269,0,0
13627,14234,0,0
13632,14203,0,0
13584,14154,0,0
13568,14208,0,0
13490,14384,0,0
13515,14274,0,0
13361,14221,0,0
13420,14174,0,0
13398,14176,0,0
13487,14460,0,0
13470,14178,0,0
13444,14292,0,0
13458,14158,0,0
13495,14315,0,0
13443,14238,0,0
13459,14218,0,0
13392,14285,0,0
13324,14217,0,0
13511,14043,0,0
13534,14316,0,0
13528,14199,0,0
13427,14267,0,0
13606,14235,0,0
13453,14211,0,0
13526,14273,0,0
13562,14319,0,0
13422,14280,0,0
13476,14243,0,0
13512,14530,0,0
13616,14285,0,0
13512,14335,0,0
13402,14259,0,0
13424,14384,0,0
13482,14452,0,0
13463,14388,0,0
13326,14352,0,0
13333,14274,0,0
13399,14396,0,0
13435,14453,0,0
13559,14259,0,0
13423,14353,0,0
13187,14183,0,0
13492,14558,0,0
13438,14327,0,0
13347,14360,0,0
13482,14184,0,0
13603,14264,0,0
13583,14210,0,0
13400,14327,0,0
13545,14250,0,0
13382,14228,0,0
13511,14200,0,0
13396,14248,0,0
13348,14312,0,0
13390,14215,0,0
13382,14358,0,0
13389,14229,0,0
13229,14213,0,0
13352,14018,0,0
13374,14184,0,0
13507,14200,0,0
13352,14364,0,0
13354,14319,0,0
13316,14227,0,0
13371,14273,0,0
13468,14305,0,0
13152,14365,0,0
13455,14243,0,0
13339,14329,0,0
13477,14258,0,0
13435,14355,0,0
13356,14275,0,0
13286,14168,0,0
13229,14238,0,0
13346,14276,0,0
13270,14191,0,0
13432,14470,0,0
13396,14324,0,0
13327,14212,0,0
13428,14167,0,0
13382,14100,0,0
13304,14023,0,0
13425,14233,0,0
13494,14208,0,0
13384,14343,0,0
13388,14271,0,0
13307,14260,0,0
13504,14194,0,0
13229,14345,0,0
13422,14159,0,0
13477,14292,0,0
13332,14222,0,0
13382,14210,0,0
13427,14075,0,0
13458,14214,0,0
13580,14074,0,0
13260,14134,0,0
13316,14081,0,0
13479,14187,0,0
13322,14280,0,0
13518,14262,0,0
13451,14250,0,0
13358,14142,0,0
13365,14183,0,0
13390,14338,0,0
13483,14217,0,0
13479,14147,0,0
13381,14175,0,0
13291,14278,0,0
13441,14061,0,0
13344,14200,0,0
13404,14146,0,0
13510,14220,0,0
13436,14059,0,0
13327,14045,0,0
13273,14021,0,0
13460,13969,0,0
13514,14253,0,0
13473,14209,0,0
13406,14251,0,0
13490,14182,0,0
13359,14125,0,0
13476,14061,0,0
